FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G,Region1G
53178,21499.685446613,6,0,0,0,0,0,0.0335911652884647,0.0313185123737678
53179,21499.71056083,1,0,0,0,0,0,0.0351667421191739,0.0323786052985237
53180,21499.735655272,6,0,0,0,0,0,0.033675235383808,0.0313422101424121
53181,21499.760750976,1,0,0,0,0,0,0.0351977153121951,0.0323707697459881
53182,21499.785843789,6,0,0,0,0,0,0.0336940405367137,0.0313087657108577
53183,21499.810956948,1,0,0,0,0,0,0.0352205764784727,0.0323740186336248
53184,21499.836053425,6,0,0,0,0,0,0.0336883252451443,0.0313009301583221
53185,21499.861146606,1,0,0,0,0,0,0.0351951342127767,0.0323510853091303
53186,21499.886257324,6,0,0,0,0,0,0.0336164231899165,0.0313370501444008
53187,21499.911355548,1,0,0,0,0,0,0.035141299853478,0.032362743082415
53188,21499.936448892,6,0,0,0,0,0,0.0335992773152084,0.0313532945825844
53189,21499.961545246,1,0,0,0,0,0,0.0351765134241152,0.0323805164088982
53190,21499.986656656,6,0,0,0,0,0,0.0336390999919499,0.0313166012633933
53191,21500.011754191,1,0,0,0,0,0,0.0351737479604525,0.0323858675179469
53192,21500.036882649,6,0,0,0,0,0,0.0336001991364292,0.0313141168199064
53193,21500.061962685,1,0,0,0,0,0,0.0351754072386501,0.0323768852991866
53194,21500.087055459,6,0,0,0,0,0,0.0336097860771263,0.0312904190512621
53195,21500.112171467,1,0,0,0,0,0,0.0351746697816734,0.0323894986276585
53196,21500.137265339,6,0,0,0,0,0,0.0336427872768334,0.031288699051925
53197,21500.162360146,1,0,0,0,0,0,0.0351990058619044,0.0323279608735984
53198,21500.1874742,6,0,0,0,0,0,0.0336558771381697,0.0313028412686966
53199,21500.212568073,1,0,0,0,0,0,0.0352172579220776,0.0323333119826471
53200,21500.237662881,6,0,0,0,0,0,0.0336461058332285,0.0313015034914344
53201,21500.262758707,1,0,0,0,0,0,0.0351907094709165,0.032337898647546
53202,21500.287853066,6,0,0,0,0,0,0.0336394687204383,0.0313085745998202
53203,21500.312964191,1,0,0,0,0,0,0.0352047211534737,0.032358538639591
53204,21500.338060952,6,0,0,0,0,0,0.0336521898532862,0.0313599834688953
53205,21500.363153645,1,0,0,0,0,0,0.0351831505369054,0.0324156808397897
53206,21500.388269286,6,0,0,0,0,0,0.03366251425096,0.0313634234675694
53207,21500.413379394,1,0,0,0,0,0,0.0352192859287635,0.0323923652932203
53208,21500.438458372,6,0,0,0,0,0,0.0336485025684028,0.0313626590234196
53209,21500.46357202,1,0,0,0,0,0,0.0351943967558,0.03239389418152
53210,21500.488667479,6,0,0,0,0,0,0.0336309879652063,0.0313573079143709
53211,21500.513781493,1,0,0,0,0,0,0.0351770665168477,0.0323742097446622
53212,21500.538875569,6,0,0,0,0,0,0.0336514523963096,0.0313412545872248
53213,21500.564003417,1,0,0,0,0,0,0.0351953185770209,0.0323671386362764
53214,21500.58908561,6,0,0,0,0,0,0.0336820568608424,0.0313022679355842
53215,21500.614197427,1,0,0,0,0,0,0.0351920000206258,0.0323411475351827
53216,21500.639290404,6,0,0,0,0,0,0.0336374407137523,0.0312997834920973
53217,21500.66438745,1,0,0,0,0,0,0.0351931062060908,0.0323386630916958
53218,21500.689499509,6,0,0,0,0,0,0.0336844535960167,0.031282774609764
53219,21500.71459684,1,0,0,0,0,0,0.0352012182328344,0.0323321653164224
53220,21500.739691649,6,0,0,0,0,0,0.0336579051448556,0.0312757035013782
