FrameCounter,Timestamp,LedState,Region0G
720,116148.9641,6,0.030526059
721,116148.9892,1,0.033785245
722,116149.0143,6,0.030540963
723,116149.0394,1,0.033808468
724,116149.0645,6,0.030548762
725,116149.0896,1,0.033809508
726,116149.1147,6,0.030548589
727,116149.1398,1,0.03379859
728,116149.1649,6,0.030545469
729,116149.19,1,0.033794604
730,116149.2151,6,0.030542523
731,116149.2402,1,0.033805349
732,116149.2653,6,0.030545296
733,116149.2904,1,0.033792698
734,116149.3155,6,0.030536631
735,116149.3406,1,0.033814707
736,116149.3657,6,0.030528485
737,116149.3908,1,0.033787498
738,116149.4159,6,0.030534205
739,116149.441,1,0.033808988
740,116149.4661,6,0.030538364
741,116149.4912,1,0.033798763
742,116149.5163,6,0.030543736
743,116149.5414,1,0.033813321
744,116149.5665,6,0.030527966
745,116149.5916,1,0.033792871
746,116149.6167,6,0.030533858
747,116149.6418,1,0.033783512
748,116149.6669,6,0.03053975
749,116149.692,1,0.033783166
750,116149.7171,6,0.030545123
751,116149.7422,1,0.033792871
752,116149.7673,6,0.030539924
753,116149.7924,1,0.033777447
754,116149.8175,6,0.030526406
755,116149.8426,1,0.03381748
756,116149.8677,6,0.03053923
757,116149.8928,1,0.033814014
758,116149.9179,6,0.030556561
759,116149.943,1,0.033810895
760,116149.9681,6,0.030540444
761,116149.9932,1,0.033814187
762,116150.0183,6,0.030552402
763,116150.0434,1,0.033804829
764,116150.0685,6,0.030546509
765,116150.0936,1,0.033791311
766,116150.1187,6,0.030554655
767,116150.1438,1,0.033786805
768,116150.1689,6,0.030552055
769,116150.194,1,0.033793391
770,116150.2191,6,0.030544603
771,116150.2443,1,0.033775887
772,116150.2693,6,0.030550669
773,116150.2944,1,0.033784032
774,116150.3195,6,0.030536804
775,116150.3447,1,0.033792698
776,116150.3697,6,0.030527446
777,116150.3948,1,0.033800496
778,116150.4199,6,0.030537324
779,116150.445,1,0.0338206
780,116150.4701,6,0.030545123
781,116150.4953,1,0.033793218
782,116150.5203,6,0.030518954
783,116150.5454,1,0.033791658
784,116150.5705,6,0.030549455
785,116150.5956,1,0.033804309
786,116150.6208,6,0.030549109
787,116150.6458,1,0.033802576
788,116150.671,6,0.030545123
789,116150.6961,1,0.033805002
790,116150.7212,6,0.030547376
791,116150.7463,1,0.033803962
792,116150.7714,6,0.030541137
793,116150.7965,1,0.033786112
794,116150.8216,6,0.030554655
795,116150.8467,1,0.033801363
796,116150.8718,6,0.030540444
797,116150.8969,1,0.033784032
798,116150.922,6,0.030567999
799,116150.9471,1,0.033793218
800,116150.9722,6,0.030552922
801,116150.9973,1,0.033781086
802,116151.0224,6,0.030546856
803,116151.0475,1,0.033796164
804,116151.0726,6,0.030558814
805,116151.0977,1,0.033769301
806,116151.1228,6,0.030555175
807,116151.1479,1,0.033792871
808,116151.173,6,0.030555175
809,116151.1981,1,0.033777967
810,116151.2232,6,0.030538191
811,116151.2483,1,0.033793044
812,116151.2734,6,0.030541657
813,116151.2985,1,0.033770861
814,116151.3236,6,0.030535591
815,116151.3487,1,0.03379651
816,116151.3738,6,0.030545989
817,116151.3989,1,0.03377762
818,116151.424,6,0.030542697
819,116151.4491,1,0.033765142
820,116151.4742,6,0.030556561
821,116151.4993,1,0.033799457
822,116151.5244,6,0.03053871
823,116151.5495,1,0.033785765
824,116151.5746,6,0.030538191
825,116151.5997,1,0.03377606
826,116151.6248,6,0.030546163
827,116151.6499,1,0.033775887
828,116151.675,6,0.030549629
829,116151.7001,1,0.033787672
830,116151.7252,6,0.030535071
831,116151.7503,1,0.033789231
832,116151.7754,6,0.03054027
833,116151.8005,1,0.033763756
834,116151.8256,6,0.030548936
835,116151.8507,1,0.033782299
836,116151.8758,6,0.030547722
837,116151.9009,1,0.033770514
838,116151.926,6,0.030549975
839,116151.9511,1,0.033779353
840,116151.9762,6,0.030553615
841,116152.0013,1,0.033786632
842,116152.0264,6,0.030557081
843,116152.0515,1,0.033782299
844,116152.0766,6,0.030554481
845,116152.1017,1,0.03377762
846,116152.1268,6,0.030542003
847,116152.1519,1,0.033794777
848,116152.177,6,0.030545469
849,116152.2021,1,0.033783859
850,116152.2272,6,0.030540444
851,116152.2523,1,0.033783686
852,116152.2774,6,0.03052086
853,116152.3025,1,0.033786459
854,116152.3276,6,0.03052138
855,116152.3527,1,0.03377866
856,116152.3778,6,0.030531778
857,116152.4029,1,0.033756997
858,116152.4281,6,0.030516354
859,116152.4531,1,0.033783859
860,116152.4783,6,0.030528139
861,116152.5033,1,0.033766355
862,116152.5284,6,0.030538537
863,116152.5535,1,0.033764969
864,116152.5786,6,0.030530392
865,116152.6037,1,0.033775367
866,116152.6288,6,0.030529525
867,116152.6539,1,0.0337771
868,116152.679,6,0.030516874
869,116152.7041,1,0.033782126
870,116152.7292,6,0.030509942
871,116152.7543,1,0.033780913
872,116152.7794,6,0.030519647
873,116152.8045,1,0.033773981
874,116152.8296,6,0.030530045
