FrameCounter,Timestamp,LedState,Stimulation,Output0,Output1,Input0,Input1,Region0G
28565,3443.198976642,1,0,0,0,0,0,0.033825279054271
28566,3443.224070921,6,0,0,0,0,0,0.0301522388688177
28567,3443.249165608,1,0,0,0,0,0,0.0338147074089321
28568,3443.274278808,6,0,0,0,0,0,0.0301541452310919
28569,3443.299370766,1,0,0,0,0,0,0.03378628528048
28570,3443.324487913,6,0,0,0,0,0,0.0301508524235274
28571,3443.349581134,1,0,0,0,0,0,0.0338024027069803
28572,3443.374677285,6,0,0,0,0,0,0.0301324820234302
28573,3443.399788166,1,0,0,0,0,0,0.0338015361786738
28574,3443.424884846,6,0,0,0,0,0,0.0301260697139624
28575,3443.449980711,1,0,0,0,0,0,0.0338119345183514
28576,3443.475074502,6,0,0,0,0,0,0.0301454799480273
28577,3443.500188597,1,0,0,0,0,0,0.0338077751824804
28578,3443.525284626,6,0,0,0,0,0,0.0301539719254306
28579,3443.550379353,1,0,0,0,0,0,0.0338001497333835
28580,3443.575472898,6,0,0,0,0,0,0.0301487727555918
28581,3443.600567992,1,0,0,0,0,0,0.0338024027069803
28582,3443.625681802,6,0,0,0,0,0,0.0301336951630593
28583,3443.650776407,1,0,0,0,0,0,0.0338190400504644
28584,3443.675868813,6,0,0,0,0,0,0.0301434002800917
28585,3443.700984047,1,0,0,0,0,0,0.0338074285711578
28586,3443.726077798,6,0,0,0,0,0,0.0301492926725757
28587,3443.751174315,1,0,0,0,0,0,0.0337972035371415
28588,3443.776269124,6,0,0,0,0,0,0.0301697427406083
28589,3443.801382975,1,0,0,0,0,0,0.033792177672964
28590,3443.826498126,6,0,0,0,0,0,0.0301513723405112
28591,3443.851591632,1,0,0,0,0,0,0.0338065620428513
28592,3443.876685749,6,0,0,0,0,0,0.0301501592008822
28593,3443.901797932,1,0,0,0,0,0,0.0338065620428513
28594,3443.926895059,6,0,0,0,0,0,0.0301558782877049
28595,3443.952002237,1,0,0,0,0,0,0.0338251057486097
28596,3443.97710038,6,0,0,0,0,0,0.0301609041518824
28597,3444.002195799,1,0,0,0,0,0,0.0338185201334806
28598,3444.027287759,6,0,0,0,0,0,0.0301622905971727
28599,3444.052387857,1,0,0,0,0,0,0.0338058688202061
28600,3444.077501953,6,0,0,0,0,0,0.0301673164613502
28601,3444.102596067,1,0,0,0,0,0,0.0338183468278193
28602,3444.127691038,6,0,0,0,0,0,0.0301463464763337
28603,3444.15278605,1,0,0,0,0,0,0.0338017094843351
28604,3444.177880411,6,0,0,0,0,0,0.0301685296009793
