,Values,Placement,Behaviors
128,2.400963974682067,Baseline,Event 6
129,0.584279960778593,Baseline,Event 6
130,0.9402227876643936,Baseline,Event 6
131,0.6135671762336863,Baseline,Event 6
132,-1.11608815671786,Baseline,Event 6
133,-1.142746458726776,Baseline,Event 6
134,-0.1430813598312891,Baseline,Event 6
135,0.2224768887948545,Baseline,Event 6
136,0.04200458114579132,Baseline,Event 6
137,1.769284220771896,Baseline,Event 6
138,4.91434775328571,Baseline,Event 6
139,1.619291641176525,Event,Event 6
140,0.9788361056072152,Event,Event 6
141,0.6132486494295406,Event,Event 6
142,-0.286504705391253,Event,Event 6
143,-0.3097016091959999,Event,Event 6
144,-0.1923104920360646,Event,Event 6
145,0.1419026831171568,Event,Event 6
146,0.08837401486584398,Event,Event 6
147,-0.1602957102250548,Event,Event 6
148,0.7378236064212987,Event,Event 6
149,2.074330013356701,Event,Event 6
150,3.911533983362656,Baseline,Event 9
151,3.178803659954104,Baseline,Event 9
152,-0.4275413608930131,Baseline,Event 9
153,4.25069325722219,Event,Event 9
154,0.8688938940902509,Event,Event 9
155,0.198484562105731,Event,Event 9
156,2.400963974682067,Baseline,Group 1
157,0.584279960778593,Baseline,Group 1
158,0.9402227876643936,Baseline,Group 1
159,0.6135671762336863,Baseline,Group 1
160,-1.11608815671786,Baseline,Group 1
161,-1.142746458726776,Baseline,Group 1
162,-0.1430813598312891,Baseline,Group 1
163,0.2224768887948545,Baseline,Group 1
164,0.04200458114579132,Baseline,Group 1
165,-0.7194248343309105,Baseline,Group 1
166,4.38688858358829,Baseline,Group 1
167,1.800695445459261,Baseline,Group 1
168,1.869901521527697,Baseline,Group 1
169,0.506058414052956,Baseline,Group 1
170,3.178803659954104,Baseline,Group 1
171,-0.4385829268673433,Baseline,Group 1
172,-0.5804796309157515,Baseline,Group 1
173,0.5093262343675581,Baseline,Group 1
174,-0.2167282687627918,Baseline,Group 1
175,-0.448467401963747,Baseline,Group 1
176,-0.4275413608930131,Baseline,Group 1
177,0.2480003378436126,Baseline,Group 1
178,0.09777899909442776,Baseline,Group 1
179,0.3004201588869594,Baseline,Group 1
180,-0.5143857995022991,Baseline,Group 1
181,-0.3700238054538825,Baseline,Group 1
182,0.4522482414479669,Baseline,Group 1
183,-0.4320863185904452,Baseline,Group 1
184,0.09279266650967953,Baseline,Group 1
185,-0.217232184668263,Baseline,Group 1
186,0.7072395056908537,Baseline,Group 1
187,-0.436169621604221,Baseline,Group 1
188,0.3865165421187872,Baseline,Group 1
189,-0.9037203914804176,Baseline,Group 1
190,-0.7538031925904484,Baseline,Group 1
191,0.3226522813513866,Baseline,Group 1
192,-0.7831055907224993,Baseline,Group 1
193,0.4935033564314529,Baseline,Group 1
194,1.619291641176525,Event,Group 1
195,0.9788361056072152,Event,Group 1
196,0.6132486494295406,Event,Group 1
197,-0.286504705391253,Event,Group 1
198,-0.3097016091959999,Event,Group 1
199,-0.1923104920360646,Event,Group 1
200,0.1419026831171568,Event,Group 1
201,0.08837401486584398,Event,Group 1
202,-0.1602957102250548,Event,Group 1
203,1.813343747972058,Event,Group 1
204,2.766492684204915,Event,Group 1
205,0.8184846475572221,Event,Group 1
206,0.7101945283174561,Event,Group 1
207,3.036420583709019,Event,Group 1
208,0.8688938940902509,Event,Group 1
209,-0.09851229559620585,Event,Group 1
210,0.5898183837731413,Event,Group 1
211,-0.4815682591938119,Event,Group 1
212,-0.4989873090037852,Event,Group 1
213,-0.164535267407511,Event,Group 1
214,0.198484562105731,Event,Group 1
215,-0.1542586574738337,Event,Group 1
216,-0.6444452108806503,Event,Group 1
217,-0.38978826447697,Event,Group 1
218,0.3890818366981271,Event,Group 1
219,-0.3408040928688602,Event,Group 1
220,-0.5477022739503926,Event,Group 1
221,-0.5406907539582819,Event,Group 1
