,Time,zF
5791,289.55,-1.291851214144771
5792,289.6,-1.2925188338528641
5793,289.65,-1.293522969267386
5794,289.7,-1.2906735638007618
5795,289.75,-1.2884510447619884
5796,289.8,-1.289941540750839
5797,289.85,-1.2965047546469803
5798,289.9,-1.2909971396142057
5799,289.95,-1.2860022767265176
5800,290.0,-1.2781370674014856
5801,290.05,-1.2688815725534914
5802,290.1,-1.2539634728127285
5803,290.15,-1.2450632136038862
5804,290.2,-1.2315904541753886
5805,290.25,-1.2168772652064914
5806,290.3,-1.20207665518056
5807,290.35,-1.181603085359017
5808,290.4,-1.1618363392905655
5809,290.45,-1.1372112602320195
5810,290.5,-1.1162621677175903
5811,290.55,-1.0948615430070556
5812,290.6,-1.076411395973875
5813,290.65,-1.0555897836759405
5814,290.7,-1.0339659815638165
5815,290.75,-1.0006643436627785
5816,290.8,-0.964539441880059
5817,290.85,-0.9264840089394862
5818,290.9,-0.8943424464630895
5819,290.95,-0.8522874860760324
5820,291.0,-0.8131686891305023
5821,291.05,-0.7729098236609812
5822,291.1,-0.736433977430193
5823,291.15,-0.6991119947485392
5824,291.2,-0.6765156145535335
5825,291.25,-0.6430992167003543
5826,291.3,-0.604089498987549
5827,291.35,-0.5735010176724515
5828,291.4,-0.5410733938791477
5829,291.45,-0.510183311550867
5830,291.5,-0.476637225634619
5831,291.55,-0.4543483186266867
5832,291.6,-0.42576768521111313
5833,291.65,-0.3933089042344637
5834,291.7,-0.3584348983258769
5835,291.75,-0.3298080398886615
5836,291.8,-0.2962146857556521
5837,291.85,-0.2798468228642932
5838,291.9,-0.2527811754080584
5839,291.95,-0.2376751639225997
5840,292.0,-0.22018382556243812
5841,292.05,-0.20675833034225033
5842,292.1,-0.1988060599940981
5843,292.15,-0.18730037278181375
5844,292.2,-0.1705496525107886
5845,292.25,-0.15718218003904233
5846,292.3,-0.13325080340913562
5847,292.35,-0.11922451252980576
5848,292.4,-0.10302598679688994
5849,292.45,-0.0832842032786539
5850,292.5,-0.062199260727981015
5851,292.55,-0.050154111188647
5852,292.6,-0.030631187011321132
5853,292.65,-0.006409707307973815
5854,292.7,0.01633161339115147
5855,292.75,0.03347770297336834
5856,292.8,0.05527640331251442
5857,292.85,0.06005632233224171
5858,292.9,0.07516898465775451
5859,292.95,0.08316985612297517
5860,293.0,0.08912919182401695
5861,293.05,0.08411023138250068
5862,293.1,0.08406167222827914
5863,293.15,0.07331753679095228
5864,293.2,0.06422523743097343
5865,293.25,0.06173525811484439
5866,293.3,0.04784734545512588
5867,293.35,0.028329460285087527
5868,293.4,0.017496806423021878
5869,293.45,0.005776600493795673
5870,293.5,-0.006624467839650545
5871,293.55,-0.01783721723178391
